"Scientific";"GBIF";"Sci_litt";"NCBI";"Wiki_views";"Wiki_verna";"Flickr"
"Centropyge flavissima";0,782050980250034;0,308828215581532;0,577401799862305;0,694260140083941;0;0,485090674393911
"Centropyge heraldi";0,533761580975377;0,147348505711095;0,408712049102139;0,737395628290282;0;0,398234106542063
"Centropyge hotumatua";0,207642176934398;0;0,134079198945756;0,504483583420444;0;0,137664402986521
"Centropyge joculator";0,152386217284191;0,0929665563974237;0,310799745332247;0,487893518351602;0;0,173713135703695
"Centropyge multispinis";0,449558253540207;0,0929665563974237;0,309912656690013;0,679060647058028;0;0,321407493460393
"Centropyge nox";0,344992055578246;0,0929665563974237;0,355085172359549;0,694087890952887;0;0,288531272972542
"Centropyge tibicen";0,529798870236869;0,0929665563974237;0,316583078268822;0,720349702384754;0;0,392901065968302
"Centropyge vrolikii";0,569722296178647;0,308828215581532;0,459249141628002;0,699112737284118;0;0,311377538690216
"Cephalopholis argus";0,797212382249943;0,524689874765641;0,499774350275134;0,810752424913316;0,38391744001312;0,722028482450122
"Cephalopholis boenak";0,588535398138787;0,420539977705015;0,450299723195959;0,713507976951315;0,38391744001312;0,530565468954823
"Cephalopholis cruentata";0,818141326338361;0,414578001074499;0,28640999951776;0,650758741408622;0;0,757781329457896
"Cephalopholis cyanostigma";0,554082958264338;0,333281618505943;0,31979859257718;0,518552242616595;0;0,434282839259237
"Cephalopholis fulva";0,64924547992284;0,446923232483901;0,444706244264478;0,727844106190234;0,38391744001312;0,639051714912607
"Cephalopholis hemistiktos";0,400733082883873;0,240315062108519;0,394020638905593;0,622957969275298;0,30424737289683;0,368960404301142
"Cephalopholis leopardus";0,529504930094328;0,147348505711095;0,301454515132533;0,675777504760494;0,30424737289683;0,300474357112997
"Cephalopholis microprion";0,430573654028885;0,185933112794847;0,247714994996533;0,528979560457798;0;0,137664402986521
"Cephalopholis miniata";0,64189887378834;0,29469701142219;0,419734506914342;0,728642913570925;0,38391744001312;0,719239328261444
"Cephalopholis panamensis";0,569009644809167;0,240315062108519;0,0698456055387978;0,691839645637617;0;0,37538784082439
"Cephalopholis sexmaculata";0,406619731453941;0,185933112794847;0,342690750967588;0,674450971038375;0,38391744001312;0,37538784082439
"Cephalopholis sonnerati";0,468584330378937;0,278899669192271;0,438961482204726;0,644176016999846;0,445714345041849;0,43030448798449
"Cephalopholis spiloparaea";0,462743063640221;0,260990119689053;0,32398049960165;0,71417897591845;0;0,355022993612965
"Cephalopholis urodeta";0,792003794498973;0,371866225589695;0,517011414197224;0,712684217191737;0,38391744001312;0,398234106542063
"Cetoscarus bicolor";0,473510606444831;0,240315062108519;0,354065107937402;0,80148548197618;0,30424737289683;0,601980057823363
"Cetoscarus ocellatus";0,582169334752572;0,0929665563974237;0,16221634598334;0,713191583470486;0;0,519166019244956
"Chaetodon adiergastos";0,403834086374048;0;0,1948963525436;0,679367399678499;0;0,55669769873366
"Chaetodon andamanensis";0,1680255551985;0,0929665563974237;0;0,667054374658553;0;0,311377538690216
"Chaetodon argentatus";0,317980885780039;0;0,221218218666506;0,678683972569094;0,30424737289683;0,275328805973042
"Chaetodon assarius";0,323555275863292;0,0929665563974237;0,0300808649900013;0,637027083734322;0;0,137664402986521
"Chaetodon aureofasciatus";0,611187424936845;0,344017137751831;0,219304807989737;0,683093871310587;0;0,311377538690216
"Chaetodon auriga";0,74694540411972;0,480630124217038;0,570250443632194;0,736228979442351;0,19195872000656;0,860086316025801
"Chaetodon auripes";0,467675879518965;0;0,317305370981246;0,708402011898612;0;0,40826406131224
"Chaetodon austriacus";0,403126320015438;0,379997344753473;0,286253787704066;0,695770662569147;0;0,569309091336701
"Chaetodon baronessa";0,621440515938013;0,344017137751831;0,290676502537508;0,676283012423442;0;0,549100976528085
"Chaetodon bennetti";0,502477839299273;0,147348505711095;0,270086205371327;0,658626829076568;0;0,517161055836337
"Chaetodon capistratus";0,831978849878547;0,446923232483901;0,326234205866035;0,770612902622938;0,445714345041849;0,749199465397909
"Chaetodon citrinellus";0,711239049005908;0,363210164895204;0,414045637175045;0,716003425262743;0;0,539331807574633
"Chaetodon collare";0,425305208677219;0,240315062108519;0,445531374860387;0,691066885662603;0;0,544311570384911
"Chaetodon decussatus";0,325513155664531;0,215861659184109;0,276726123958965;0,666788276869999;0;0,330693781123762
"Chaetodon ephippium";0,659473324238196;0,240315062108519;0,339611756547344;0,705903240195468;0;0,635957544379932
"Chaetodon falcula";0,379696669427888;0,0929665563974237;0,227013149247079;0,736375831726597;0;0,521139407111085
"Chaetodon fasciatus";0,418131094632828;0,185933112794847;0,221218218666506;0,686627425963363;0;0,635171914598274
"Chaetodon flavirostris";0,568446391955522;0,147348505711095;0,229644107166373;0,657001332992611;0;0,445511918392609
"Chaetodon guentheri";0,473880418449112;0;0,221218218666506;0,679855544965985;0;0,45581697215299
"Chaetodon guttatissimus";0,428721384353835;0,185933112794847;0,397737801278126;0,667255321687459;0;0,398234106542063
"Chaetodon humeralis";0,54349735873567;0,0929665563974237;0,194225942768606;0,667255321687459;0;0,40826406131224
"Chaetodon interruptus";0,325513155664531;0,0929665563974237;0,111065648398302;0,64449440988783;0;0,34742627140739
"Chaetodon kleinii";0,676740502064465;0,321611444677075;0,354551790095359;0,709057815739291;0;0,652101274584155
