ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
646,Chromis lepidolepis,Chromis lepidolepis,species,Chromis lepidolepis,Chromis lepidolepis,Chromis,Pomacentridae,Actinopterygii,212795,1,
647,Chromis limbata,Chromis limbata,species,Chromis limbata,Chromis limbata,Chromis,Pomacentridae,Actinopterygii,127001,1,
648,Chromis limbaughi,Chromis limbaughi,species,Chromis limbaughi,Chromis limbaughi,Chromis,Pomacentridae,Actinopterygii,273736,1,
649,Chromis lineata,Chromis lineata,species,Chromis lineata,Chromis lineata,Chromis,Pomacentridae,Actinopterygii,273737,1,
650,Chromis margaritifer,Chromis margaritifer,species,Chromis margaritifer,Chromis margaritifer,Chromis,Pomacentridae,Actinopterygii,273739,1,
651,Chromis multilineata,Chromis multilineata,species,Chromis multilineata,Chromis multilineata,Chromis,Pomacentridae,Actinopterygii,273743,1,
652,Chromis nigrura,Chromis nigrura,species,Chromis nigrura,Chromis nigrura,Chromis,Pomacentridae,Actinopterygii,212799,1,
653,Chromis nitida,Chromis nitida,species,Chromis nitida,Chromis nitida,Chromis,Pomacentridae,Actinopterygii,273744,1,
654,Chromis notata,Chromis notata,species,Chromis notata,Chromis notata,Chromis,Pomacentridae,Actinopterygii,273745,1,
655,Chromis opercularis,Chromis opercularis,species,Chromis opercularis,Chromis opercularis,Chromis,Pomacentridae,Actinopterygii,212798,1,
656,Chromis ovalis,Chromis ovalis,species,Chromis ovalis,Chromis ovalis,Chromis,Pomacentridae,Actinopterygii,1042320,1,
657,Chromis pamae,Chromis pamae,species,Chromis pamae,Chromis pamae,Chromis,Pomacentridae,Actinopterygii,273749,1,
658,Chromis pelloura,Chromis pelloura,species,Chromis pelloura,Chromis pelloura,Chromis,Pomacentridae,Actinopterygii,212796,1,
659,Chromis pembae,Chromis pembae,species,Chromis pembae,Chromis pembae,Chromis,Pomacentridae,Actinopterygii,212820,1,
