generation,rank_1,rank_2,swapAccepted
1195000,1,2,1
1196000,1,3,1
1197000,1,3,1
1198000,2,3,1
1199000,2,3,1
1200000,1,2,1
1201000,1,3,1
1202000,1,3,1
1203000,1,2,1
1204000,2,3,1
1205000,1,3,1
1206000,1,2,1
1207000,1,2,1
1208000,1,2,1
1209000,1,3,0
1210000,2,3,0
1211000,2,3,0
1212000,2,3,0
1213000,2,3,0
1214000,1,2,1
1215000,1,3,0
1216000,2,3,0
1217000,1,3,0
1218000,1,3,1
1219000,2,3,1
1220000,1,2,1
1221000,2,3,1
1222000,2,3,0
1223000,2,3,0
1224000,1,2,1
1225000,2,3,0
1226000,1,3,1
1227000,1,3,1
1228000,2,3,1
1229000,1,3,0
1230000,1,3,1
1231000,1,3,1
1232000,2,3,1
1233000,1,3,0
1234000,1,3,0
1235000,1,3,0
1236000,2,3,1
1237000,1,2,0
1238000,1,2,1
1239000,1,3,1
1240000,1,2,1
1241000,1,3,0
1242000,1,3,0
1243000,2,3,1
1244000,2,3,1
1245000,1,2,1
1246000,1,2,1
1247000,2,3,0
1248000,1,2,1
1249000,2,3,0
1250000,1,2,1
1251000,1,3,0
1252000,2,3,1
1253000,1,2,1
1254000,1,3,1
1255000,1,3,1
1256000,1,3,0
1257000,1,2,1
1258000,1,3,0
1259000,2,3,1
1260000,1,3,0
1261000,2,3,0
1262000,1,3,1
1263000,1,3,1
1264000,1,3,0
1265000,2,3,1
1266000,2,3,1
1267000,1,3,1
1268000,1,2,1
1269000,1,3,1
1270000,1,3,0
1271000,2,3,1
1272000,1,2,0
1273000,1,2,1
1274000,2,3,1
1275000,2,3,1
1276000,2,3,1
1277000,1,3,1
1278000,1,2,1
1279000,1,3,1
1280000,1,3,1
1281000,2,3,1
1282000,2,3,1
1283000,1,3,1
1284000,2,3,1
1285000,1,2,1
1286000,1,3,1
1287000,1,3,1
1288000,2,3,1
1289000,1,2,1
1290000,2,3,1
1291000,1,2,1
1292000,1,2,1
1293000,1,3,1
1294000,1,3,1
1295000,2,3,1
1296000,1,2,0
1297000,1,2,1
1298000,2,3,1
1299000,2,3,1
1300000,2,3,1
1301000,1,2,1
1302000,1,2,1
1303000,1,3,1
1304000,2,3,1
1305000,2,3,1
1306000,1,3,0
1307000,2,3,1
1308000,2,3,1
1309000,1,3,1
1310000,1,3,1
1311000,1,3,1
1312000,1,2,1
1313000,1,3,1
1314000,2,3,1
1315000,1,2,1
1316000,1,3,0
1317000,2,3,1
1318000,1,2,0
1319000,1,3,1
1320000,1,3,1
1321000,1,3,1
1322000,2,3,1
1323000,2,3,1
1324000,2,3,1
1325000,2,3,1
1326000,1,2,0
1327000,2,3,1
1328000,1,3,0
1329000,1,3,0
1330000,2,3,1
1331000,2,3,1
1332000,2,3,1
1333000,1,2,0
1334000,1,3,0
1335000,1,3,0
1336000,1,3,1
1337000,1,2,0
1338000,1,2,1
1339000,1,3,1
1340000,1,2,0
1341000,1,2,0
1342000,2,3,1
1343000,2,3,1
1344000,1,2,0
1345000,1,3,0
1346000,1,3,0
1347000,1,2,1
1348000,1,2,1
1349000,1,3,0
1350000,1,3,0
1351000,1,2,1
1352000,2,3,1
1353000,1,3,1
1354000,2,3,1
1355000,2,3,1
1356000,2,3,1
1357000,2,3,1
1358000,2,3,1
1359000,2,3,1
1360000,1,2,0
1361000,2,3,1
1362000,1,3,0
1363000,1,2,1
1364000,1,2,1
1365000,1,2,0
1366000,1,2,1
1367000,2,3,0
1368000,1,2,1
1369000,1,3,0
1370000,1,2,1
1371000,2,3,1
1372000,2,3,1
1373000,1,2,1
1374000,1,3,0
1375000,1,3,1
1376000,1,2,1
1377000,2,3,1
1378000,1,3,1
1379000,1,3,1
1380000,1,3,1
1381000,2,3,0
1382000,1,3,1
1383000,2,3,0
1384000,2,3,0
1385000,1,2,1
1386000,2,3,1
1387000,2,3,1
1388000,2,3,1
1389000,1,2,0
1390000,1,3,0
1391000,1,2,0
1392000,1,2,0
1393000,1,2,1
1394000,2,3,1
1395000,1,3,1
1396000,2,3,1
1397000,1,3,0
1398000,2,3,1
1399000,1,2,1
1400000,2,3,0
1401000,1,2,1
1402000,1,2,0
1403000,1,3,0
1404000,2,3,1
1405000,2,3,1
1406000,1,3,0
1407000,1,2,0
1408000,2,3,1
1409000,1,2,1
1410000,1,2,1
1411000,2,3,1
1412000,2,3,1
1413000,2,3,0
1414000,2,3,1
1415000,1,2,0
1416000,2,3,1
1417000,1,2,1
1418000,1,2,1
1419000,2,3,1
1420000,2,3,1
1421000,1,2,1
1422000,2,3,1
1423000,2,3,1
1424000,1,3,1
1425000,1,2,1
1426000,2,3,1
1427000,1,2,1
